# New slice
32 36
31 35
30 34
29 33
29 32
28 31
27 30
26 29
26 29
25 28
24 28
23 27
24 27
25 26
24 25
23 24
23 24
24 23
25 22
24 21
25 21
25 21
24 20
24 19
24 20
25 20
24 20
25 20
24 20
25 20
# New slice
11 13
12 13
13 13
14 13
15 13
16 14
17 15
18 16
19 17
20 18
20 18
21 18
22 18
22 19
23 19
23 18
24 18
25 18
24 19
25 19
25 19
25 19
24 19
25 19
24 19
24 20
25 20
25 20
24 20
24 21
# New slice
19 7
19 7
18 8
19 9
20 10
21 10
22 11
23 12
24 13
23 14
24 14
24 14
23 14
23 15
23 16
24 17
25 18
25 19
24 19
24 18
25 18
24 19
25 19
24 19
25 19
24 19
25 19
25 20
25 21
24 20
# New slice
21 2
20 2
19 2
18 2
17 2
16 2
15 2
14 1
14 1
14 0
14 1
13 1
12 1
11 1
11 2
10 1
9 1
10 1
9 1
9 1
10 1
10 1
9 1
10 1
9 1
10 1
9 1
10 1
9 1
10 1
# New slice
19 14
19 14
20 15
21 16
22 16
23 17
24 18
24 19
25 19
25 19
24 19
25 19
24 19
25 19
24 19
24 19
25 19
24 19
24 20
25 20
24 20
25 20
24 20
25 20
26 20
26 20
26 20
25 20
24 20
25 20
# New slice
31 1
30 1
29 1
28 2
28 3
27 4
26 5
26 5
25 5
24 6
23 7
22 8
21 9
20 10
21 11
22 12
23 13
22 14
22 15
23 15
24 16
25 16
25 17
24 18
25 18
24 19
25 19
25 19
24 19
24 19
# New slice
26 0
26 1
25 2
24 2
23 2
23 1
22 1
21 1
20 1
19 1
19 0
20 0
20 0
20 1
19 1
19 2
18 2
17 2
16 2
16 3
15 2
14 2
13 1
12 1
12 2
11 1
11 1
10 0
10 1
9 1
# New slice
22 12
23 13
23 14
24 14
24 15
23 16
24 17
25 18
24 19
24 19
25 19
24 19
25 19
24 20
25 20
24 20
25 20
24 20
25 20
24 20
24 20
24 21
25 21
24 20
25 20
24 20
25 20
25 20
24 20
25 20
# New slice
25 19
24 20
25 20
25 21
24 20
25 20
24 20
25 20
24 20
25 20
24 20
25 20
25 20
25 21
25 21
24 21
25 21
24 21
24 22
25 22
24 21
25 21
24 20
25 20
25 20
25 20
24 20
25 20
25 20
24 20
# New slice
40 6
39 6
38 7
37 8
36 9
35 10
34 11
33 12
33 12
32 12
31 13
31 13
30 14
29 15
28 16
27 17
27 17
26 17
25 18
24 19
24 20
25 20
24 20
25 20
24 20
24 20
25 20
24 20
24 19
24 18
# New slice
43 2
43 3
42 4
41 5
41 4
40 5
39 6
38 6
37 7
36 8
36 9
35 10
34 11
34 12
33 13
32 13
31 14
30 15
29 16
29 16
28 17
27 18
26 19
25 19
24 19
25 19
24 19
24 20
25 20
24 20
# New slice
26 49
26 48
27 47
28 46
28 46
29 45
30 45
29 44
30 44
30 44
30 44
29 44
30 44
29 44
30 44
30 43
29 44
30 44
29 44
30 44
29 44
30 44
29 44
29 45
30 45
29 44
29 45
30 45
29 44
30 44
# New slice
23 18
23 17
23 17
24 18
25 18
24 19
25 19
25 20
24 20
25 20
24 20
25 20
25 20
24 20
24 19
25 19
25 19
24 19
25 19
24 19
24 18
25 18
24 19
25 19
24 19
25 19
24 19
25 19
25 18
24 19
# New slice
10 33
11 32
12 31
13 31
14 30
15 30
16 29
16 28
17 27
18 26
19 25
20 24
20 23
21 22
22 21
23 20
24 20
25 20
24 20
25 20
24 20
25 20
24 20
25 20
25 21
25 21
25 20
24 20
24 21
25 21
# New slice
26 49
26 48
27 48
27 47
27 46
28 45
29 45
29 44
30 44
29 44
30 44
29 44
30 44
29 44
29 43
30 43
29 43
30 43
29 44
30 44
30 43
29 44
30 44
29 44
30 44
29 44
29 43
30 43
29 44
30 44
# New slice
13 46
14 46
15 46
16 46
17 46
17 46
18 46
19 46
20 46
20 47
21 47
22 47
23 47
23 47
23 46
23 47
24 47
25 46
26 45
27 45
28 45
29 45
30 45
30 45
29 44
30 44
29 44
29 43
30 43
29 44
# New slice
40 46
39 46
38 46
37 45
36 45
36 44
36 43
36 42
35 43
34 43
33 44
33 44
33 45
32 45
31 44
31 43
30 44
29 45
29 45
29 46
28 45
29 45
30 45
29 44
29 44
29 45
30 45
29 44
30 44
29 44
# New slice
5 15
5 16
6 16
7 16
8 16
9 16
10 16
11 16
12 16
13 16
14 16
15 16
16 16
17 17
18 18
19 18
20 18
21 18
21 19
21 20
22 20
23 20
24 20
25 20
24 20
24 21
25 21
24 20
24 21
24 21
# New slice
0 3
1 3
2 3
3 3
3 2
4 2
5 2
5 2
6 2
7 2
7 1
8 1
9 1
9 2
10 2
9 1
10 1
10 2
9 1
10 1
10 0
10 1
10 1
9 1
10 1
10 2
9 1
9 0
9 1
10 1
# New slice
28 15
27 16
26 17
25 18
24 19
25 19
24 19
25 19
25 19
24 19
25 19
25 19
25 19
24 19
25 19
24 19
25 19
24 19
24 18
25 18
24 19
25 19
25 19
24 19
25 19
24 19
24 18
23 19
24 19
25 19
# New slice
16 38
16 38
15 38
15 38
14 37
13 36
14 35
15 34
16 33
17 32
18 31
19 30
20 29
21 28
22 27
23 26
24 26
25 25
24 24
25 23
25 22
24 21
25 21
24 20
25 20
24 20
24 19
25 19
24 19
25 19
# New slice
35 16
34 16
33 17
32 17
31 18
30 19
30 19
29 19
29 18
28 19
27 19
26 19
25 19
24 19
25 19
24 20
25 20
25 20
24 20
24 19
25 19
24 19
25 19
24 19
24 18
25 18
24 19
25 19
24 19
25 19
# New slice
29 6
28 7
27 8
26 9
